,Price,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Color,Airbags
2539,1500,DODGE,2001,Jeep,No,Petrol,58958 km,8.0,Automatic,Black,7
2540,14113,BMW,2014,Jeep,Yes,Diesel,110715 km,6.0,Automatic,White,7
2541,13799,DODGE,2010,Universal,No,Petrol,63000 km,4.0,Automatic,Black,6
2542,20814,HYUNDAI,2012,Sedan,Yes,Petrol,215833 km,4.0,Automatic,Black,4
2543,9408,HONDA,2007,Hatchback,No,Petrol,180000 km,4.0,Variator,Blue,4
2544,10663,NISSAN,2005,Minivan,Yes,Petrol,117000 km,4.0,Automatic,Black,12
2545,20385,NISSAN,2005,Jeep,Yes,CNG,155200 km,6.0,Automatic,Silver,8
2546,9377,CHEVROLET,2008,Jeep,Yes,Diesel,53391 km,4.0,Automatic,White,4
2547,30517,HYUNDAI,2014,Minivan,Yes,Diesel,151854 km,4.0,Automatic,Grey,4
2548,8500,FORD,1992,Microbus,No,Diesel,2582 km,4.0,Manual,Blue,4
2549,12544,MERCEDES-BENZ,2004,Sedan,Yes,Petrol,153000 km,4.0,Automatic,Silver,6
2550,52687,MERCEDES-BENZ,2013,Jeep,Yes,Petrol,78000 km,6.0,Tiptronic,Black,12
2551,13000,MERCEDES-BENZ,2000,Sedan,Yes,Petrol,168000 km,8.0,Tiptronic,Black,12
2552,8200,HONDA,2002,Jeep,No,CNG,69000 km,4.0,Automatic,Silver,6
2553,28789,CHEVROLET,2014,Jeep,Yes,Diesel,93576 km,4.0,Automatic,Silver,4
2556,11917,OPEL,2008,Goods wagon,No,Diesel,149000 km,4.0,Manual,Black,12
2558,12231,KIA,2015,Sedan,Yes,Petrol,39625 km,3.0,Automatic,Beige,4
2559,8311,BMW,2001,Sedan,No,Petrol,200000 km,6.0,Manual,Blue,12
2560,57607,TOYOTA,2017,Hatchback,Yes,Petrol,15000 km,4.0,Automatic,Black,4
2561,13799,HYUNDAI,2015,Sedan,Yes,LPG,30258 km,4.0,Automatic,Silver,4
2562,25089,VOLKSWAGEN,2012,Jeep,Yes,Petrol,90000 km,4.0,Tiptronic,Silver,8
2564,6272,MAZDA,2001,Minivan,No,Petrol,138974 km,6.0,Automatic,Black,8
2566,29793,BMW,2013,Sedan,Yes,Petrol,161000 km,4.0,Tiptronic,Black,8
2567,31988,MERCEDES-BENZ,2010,Minivan,Yes,Diesel,240000 km,6.0,Automatic,Black,2
2569,48575,HYUNDAI,2016,Jeep,Yes,Diesel,121639 km,4.0,Automatic,Silver,4
2571,10036,MERCEDES-BENZ,2004,Coupe,Yes,Petrol,178000 km,6.0,Tiptronic,Blue,4
2572,4704,OPEL,1998,Hatchback,No,Petrol,178000 km,4.0,Manual,Carnelian red,3
2573,17719,HYUNDAI,2017,Sedan,No,Petrol,178000 km,4.0,Automatic,Grey,3
2574,15681,HYUNDAI,2016,Sedan,Yes,LPG,219432 km,4.0,Automatic,Silver,4
2575,18814,TOYOTA,2007,Jeep,No,Petrol,260000 km,6.0,Automatic,Grey,8
2576,21500,HONDA,2011,Jeep,Yes,Petrol,116000 km,4.0,Automatic,Brown,12
2578,36065,LAND ROVER,2009,Jeep,Yes,Diesel,147000 km,6.0,Tiptronic,Black,12
2581,12544,HONDA,2009,Sedan,Yes,Petrol,75000 km,4.0,Automatic,White,12
2582,14113,CHEVROLET,2014,Sedan,No,Petrol,130000 km,6.0,Tiptronic,Blue,6
2583,28225,BMW,2012,Sedan,Yes,Petrol,104000 km,6.0,Tiptronic,Grey,12
2584,15053,HYUNDAI,2015,Sedan,Yes,LPG,586436 km,4.0,Automatic,Silver,4
2585,20071,TOYOTA,2012,Sedan,No,Petrol,256000 km,4.0,Tiptronic,Silver,6
2586,17249,FORD,2010,Jeep,No,Petrol,166635 km,6.0,Automatic,Black,6
2587,24239,HONDA,2013,Hatchback,Yes,Petrol,20100 km,4.0,Automatic,Blue,4
2588,5645,HYUNDAI,2016,Sedan,Yes,LPG,596900 km,4.0,Automatic,Orange,4
2589,13172,FORD,2013,Sedan,No,Petrol,208723 km,4.0,Automatic,Grey,4
2590,5209,HONDA,2013,Hatchback,Yes,Petrol,69219 km,4.0,Automatic,Silver,4
2591,2979,DODGE,2011,Sedan,Yes,Petrol,252253 km,6.0,Automatic,Black,12
2592,17249,MERCEDES-BENZ,1995,Sedan,Yes,Petrol,150000 km,6.0,Automatic,Silver,2
2593,19757,HYUNDAI,2016,Sedan,No,Petrol,83200 km,4.0,Tiptronic,Silver,12
2595,7527,OPEL,2000,Sedan,No,Petrol,11111 km,4.0,Automatic,White,4
2596,41811,SSANGYONG,2017,Jeep,Yes,Diesel,92627 km,4.0,Automatic,Silver,4
2597,40340,SSANGYONG,2013,Jeep,Yes,Diesel,114778 km,4.0,Automatic,Black,4
2598,7213,FORD,1991,Microbus,No,Diesel,111111 km,7.0,Manual,White,1
2600,15681,TOYOTA,2013,Sedan,Yes,Hybrid,111111 km,4.0,Tiptronic,Grey,8
2601,5018,TOYOTA,2013,Sedan,Yes,Hybrid,190549 km,4.0,Automatic,Black,12
2602,14740,FORD,1999,Microbus,No,Diesel,326432 km,4.0,Manual,Red,2
2603,13485,TOYOTA,2009,Sedan,No,Hybrid,288000 km,4.0,Automatic,Black,4
2604,51166,JEEP,2015,Jeep,Yes,Diesel,135547 km,4.0,Automatic,Grey,4
2605,2430,GMC,2012,Jeep,Yes,Petrol,204048 km,4.0,Automatic,Silver,12
2606,8467,SUBARU,2017,Jeep,Yes,Petrol,289714 km,4.0,Automatic,Blue,12
2607,24123,SSANGYONG,2012,Jeep,Yes,Diesel,132356 km,4.0,Automatic,Black,4
2608,9408,MERCEDES-BENZ,2000,Sedan,No,CNG,19000 km,4.0,Tiptronic,Silver,6
2609,16308,HYUNDAI,2011,Sedan,Yes,Hybrid,107000 km,4.0,Tiptronic,Black,10
2610,4547,DAEWOO,2009,Sedan,Yes,Petrol,171138 km,4.0,Automatic,Blue,4
2611,25000,MAZDA,2014,Jeep,Yes,Diesel,59000 km,4.0,Tiptronic,Red,8
2613,25089,TOYOTA,2014,Hatchback,Yes,Petrol,96800 km,4.0,Automatic,Black,4
2615,48610,TOYOTA,2012,Jeep,Yes,Hybrid,75000 km,6.0,Tiptronic,White,12
2616,3293,TOYOTA,2010,Hatchback,Yes,Hybrid,159382 km,4.0,Automatic,White,12
2617,27911,HONDA,2013,Sedan,Yes,Petrol,90000 km,4.0,Automatic,Silver,4
2618,59831,HYUNDAI,2013,Coupe,Yes,Petrol,53885 km,4.0,Automatic,Black,4
2619,13172,HYUNDAI,2016,Sedan,Yes,LPG,358526 km,4.0,Automatic,Orange,4
2622,21940,SSANGYONG,2012,Pickup,Yes,Diesel,201897 km,4.0,Automatic,White,4
2623,20698,HYUNDAI,2014,Sedan,Yes,Petrol,78000 km,4.0,Automatic,Red,12
2624,13172,HONDA,2005,Jeep,No,Petrol,150000 km,4.0,Automatic,Black,4
2625,5331,MERCEDES-BENZ,1996,Sedan,No,CNG,305222 km,4.0,Manual,Black,2
2626,22843,SSANGYONG,2012,Jeep,Yes,Diesel,87865 km,4.0,Automatic,Silver,4
2627,17876,FORD,2014,Sedan,No,Hybrid,110200 km,4.0,Variator,White,8
2628,25716,HYUNDAI,2013,Jeep,Yes,Diesel,36458 km,4.0,Automatic,White,4
2629,4861,OPEL,1996,Sedan,No,Petrol,319000 km,4.0,Manual,Golden,2
2630,15681,HYUNDAI,2016,Sedan,Yes,LPG,265917 km,4.0,Automatic,Silver,4
2632,11447,BMW,2002,Sedan,Yes,Petrol,160000 km,4.0,Tiptronic,Silver,10
2633,37320,MERCEDES-BENZ,2006,Sedan,Yes,Petrol,176000 km,6.0,Tiptronic,Black,8
2634,4077,BMW,1995,Hatchback,No,Petrol,250000 km,4.0,Automatic,Black,1
2635,1960,FORD,2012,Sedan,Yes,Hybrid,375862 km,4.0,Automatic,Black,1
2636,27946,HYUNDAI,2014,Sedan,Yes,Diesel,102152 km,4.0,Automatic,White,4
2637,2600,FIAT,2000,Hatchback,No,Petrol,170000 km,4.0,Manual,Black,2
2638,13172,HONDA,2010,Sedan,No,Hybrid,368000 km,4.0,Variator,Grey,12
2639,23138,HYUNDAI,2011,Jeep,Yes,Diesel,191836 km,4.0,Automatic,Silver,4
2640,46728,LEXUS,2010,Jeep,Yes,Petrol,260771 km,8.0,Automatic,Black,4
2641,42337,NISSAN,2010,Jeep,No,Diesel,167855 km,6.0,Manual,Blue,6
2642,13485,TOYOTA,2013,Sedan,No,Hybrid,121000 km,4.0,Automatic,Silver,6
2643,14113,TOYOTA,2010,Sedan,No,Hybrid,181022 km,4.0,Automatic,Black,12
2644,29793,HONDA,2010,Jeep,Yes,Petrol,17000 km,6.0,Automatic,Black,10
2645,31047,TOYOTA,2019,Sedan,Yes,Petrol,17542 km,6.0,Automatic,Silver,12
2646,1725,NISSAN,2015,Sedan,Yes,Petrol,163875 km,4.0,Automatic,Black,12
2648,13500,BMW,2004,Sedan,Yes,Petrol,210000 km,6.0,Tiptronic,Silver,8
2652,21395,HYUNDAI,2012,Jeep,Yes,Diesel,169834 km,4.0,Automatic,Grey,4
2653,4234,BMW,1997,Sedan,No,Petrol,225142 km,6.0,Automatic,Black,2
2654,3607,TOYOTA,2012,Sedan,Yes,Hybrid,156518 km,4.0,Automatic,White,12
2655,3293,HONDA,2012,Sedan,Yes,Petrol,124509 km,4.0,Automatic,White,12
2656,10663,NISSAN,2006,Sedan,Yes,CNG,180000 km,6.0,Tiptronic,Silver,10
2657,26475,HYUNDAI,2012,Sedan,Yes,Petrol,75876 km,4.0,Automatic,Grey,4
2658,10663,NISSAN,2011,Hatchback,Yes,Petrol,143000 km,4.0,Automatic,Black,10
2659,37320,MERCEDES-BENZ,2017,Jeep,Yes,Petrol,51824 km,6.0,Automatic,White,12
2660,15994,MERCEDES-BENZ,2011,Coupe,Yes,Diesel,170429 km,6.0,Automatic,Silver,12
2661,3607,TOYOTA,2010,Sedan,Yes,Petrol,290280 km,4.0,Automatic,Silver,12
2662,9408,TOYOTA,2002,Sedan,No,CNG,229000 km,4.0,Automatic,Blue,6
2663,10117,CHEVROLET,2011,Sedan,Yes,Petrol,170000 km,4.0,Automatic,Grey,4
2664,28830,HYUNDAI,2013,Jeep,Yes,Diesel,132020 km,4.0,Automatic,Silver,4
2665,24891,NISSAN,2011,Hatchback,No,Petrol,53330 km,4.0,Automatic,Black,2
2666,3000,VOLKSWAGEN,1995,Sedan,No,CNG,1101001 km,4.0,Manual,White,1
2668,30891,HONDA,2015,Sedan,Yes,Petrol,100658 km,4.0,Automatic,Silver,4
2670,24148,TOYOTA,2014,Sedan,Yes,Hybrid,152000 km,6.0,Variator,Grey,12
2671,46207,HYUNDAI,2015,Sedan,Yes,Petrol,121758 km,4.0,Automatic,White,4
2672,5200,HONDA,2011,Hatchback,No,Petrol,144000 km,4.0,Automatic,White,4
2673,43952,HYUNDAI,2017,Universal,Yes,Diesel,111643 km,4.0,Automatic,Grey,4
2674,2430,VOLKSWAGEN,2015,Sedan,Yes,Petrol,141875 km,4.0,Automatic,Grey,12
2675,55515,HYUNDAI,2016,Jeep,Yes,Diesel,64691 km,4.0,Automatic,Silver,4
2676,94083,BMW,2015,Jeep,Yes,Diesel,97000 km,6.0,Tiptronic,Black,12
2677,23521,NISSAN,2015,Jeep,Yes,Petrol,76099 km,4.0,Tiptronic,Carnelian red,15
2678,27435,HONDA,2014,Hatchback,Yes,Petrol,109000 km,4.0,Automatic,White,4
2679,10506,FORD,2010,Goods wagon,Yes,Diesel,85000 km,4.0,Manual,Red,4
2680,22433,HYUNDAI,2014,Jeep,Yes,Diesel,74210 km,4.0,Automatic,Silver,4
2681,9095,MERCEDES-BENZ,1999,Sedan,Yes,Petrol,26200 km,6.0,Manual,Silver,6
2682,11604,TOYOTA,2006,Sedan,No,Hybrid,331139 km,4.0,Automatic,Grey,4
2683,28241,SSANGYONG,2016,Jeep,Yes,Diesel,181809 km,4.0,Automatic,Silver,4
2685,34419,CHEVROLET,2016,Sedan,Yes,Petrol,106642 km,4.0,Automatic,White,4
2686,25089,FORD,2010,Microbus,No,Diesel,123000 km,4.0,Manual,White,2
2688,10820,BMW,2012,Jeep,Yes,Diesel,229966 km,6.0,Automatic,Black,2
2690,18503,FORD,2017,Sedan,Yes,Hybrid,75597 km,4.0,Automatic,White,12
2691,78403,TOYOTA,2014,Jeep,Yes,Diesel,142000 km,6.0,Tiptronic,Black,12
2692,10036,MITSUBISHI,2003,Universal,No,LPG,200000 km,4.0,Automatic,White,12
2694,29793,HONDA,2016,Jeep,No,Petrol,22400 km,4.0,Variator,Black,12
2695,9722,TOYOTA,2018,Sedan,Yes,Hybrid,127515 km,4.0,Automatic,Black,12
2696,27924,HYUNDAI,2018,Sedan,Yes,Petrol,53000 km,4.0,Automatic,White,4
2697,14113,BMW,2014,Jeep,Yes,Diesel,110715 km,6.0,Automatic,White,4
2698,1646,MERCEDES-BENZ,2010,Sedan,Yes,Petrol,205968 km,6.0,Automatic,White,12
2699,12074,HYUNDAI,2011,Sedan,Yes,Diesel,304058 km,4.0,Automatic,Black,4
2701,21953,SSANGYONG,2013,Jeep,Yes,Diesel,288024 km,4.0,Automatic,Silver,4
2702,7200,SUBARU,2000,Jeep,No,CNG,149045 km,4.0,Manual,Golden,4
2703,16621,VOLKSWAGEN,2011,Sedan,Yes,Petrol,138000 km,4.0,Manual,White,6
2704,6272,NISSAN,2005,Sedan,No,Petrol,172000 km,6.0,Automatic,Black,6
2705,17562,SUBARU,2015,Coupe,Yes,Petrol,59731 km,4.0,Automatic,Grey,12
2706,1411,SUZUKI,2013,Sedan,Yes,Petrol,193504 km,4.0,Automatic,Red,12
2707,18117,HYUNDAI,2011,Jeep,Yes,Diesel,181149 km,4.0,Automatic,Silver,4
2708,19130,CHEVROLET,2013,Hatchback,No,Plug-in Hybrid,103000 km,4.0,Automatic,Black,12
2709,15612,HYUNDAI,2010,Sedan,Yes,Petrol,138425 km,4.0,Automatic,White,4
2711,12544,VOLKSWAGEN,2004,Jeep,Yes,LPG,176000 km,6.0,Tiptronic,White,12
2712,15994,TOYOTA,2010,Sedan,No,Hybrid,145000 km,4.0,Variator,Blue,6
2713,4077,CHEVROLET,2019,Sedan,Yes,Petrol,1232 km,4.0,Automatic,Black,12
2714,1646,HYUNDAI,2010,Sedan,Yes,Petrol,172003 km,4.0,Automatic,Blue,12
2716,35124,TOYOTA,2014,Jeep,No,Petrol,55000 km,4.0,Tiptronic,White,12
2717,12858,MERCEDES-BENZ,2015,Jeep,Yes,Petrol,159928 km,4.0,Automatic,Black,12
2718,4704,CHEVROLET,2009,Sedan,Yes,Petrol,50549 km,4.0,Automatic,Silver,4
2719,19130,FORD,2012,Coupe,No,Petrol,107000 km,6.0,Automatic,Red,8
2720,2430,LEXUS,2009,Jeep,Yes,Petrol,264339 km,8.0,Automatic,Black,8
2721,30351,HYUNDAI,2014,Jeep,Yes,Diesel,134750 km,4.0,Automatic,Grey,4
2722,11290,NISSAN,2011,Sedan,No,Petrol,110000 km,6.0,Variator,White,6
2723,6272,MERCEDES-BENZ,2016,Jeep,Yes,Petrol,17584 km,8.0,Automatic,Black,6
2725,35839,HONDA,2016,Hatchback,Yes,Petrol,9756 km,4.0,Automatic,Blue,4
2726,73071,LEXUS,2015,Jeep,Yes,Petrol,188078 km,8.0,Automatic,Black,4
2727,16308,NISSAN,2012,Jeep,No,Petrol,116000 km,4.0,Tiptronic,Silver,12
2728,98282,FORD,2017,Jeep,Yes,Petrol,20000 km,4.0,Automatic,White,4
2729,21953,FORD,2016,Jeep,Yes,Petrol,94400 km,4.0,Automatic,White,4
2732,8467,JEEP,1999,Jeep,Yes,Petrol,20000 km,8.0,Automatic,Black,12
2733,47042,MERCEDES-BENZ,2013,Minivan,Yes,Diesel,350000 km,4.0,Manual,Silver,6
2734,35902,HYUNDAI,2016,Jeep,Yes,Diesel,196475 km,4.0,Automatic,Black,4
2735,20698,MERCEDES-BENZ,2007,Universal,No,Diesel,220000 km,4.0,Automatic,Silver,4
2736,8781,OPEL,2002,Minivan,No,CNG,3000 km,4.0,Manual,Silver,10
2737,13485,MERCEDES-BENZ,2014,Coupe,Yes,Petrol,9000 km,3.0,Automatic,Silver,4
2738,4077,LEXUS,2012,Jeep,Yes,Petrol,150909 km,8.0,Automatic,Black,4
2740,6272,HYUNDAI,2008,Hatchback,Yes,Diesel,81928 km,4.0,Automatic,Grey,4
2741,5175,NISSAN,2003,Sedan,No,CNG,197000 km,6.0,Tiptronic,Silver,4
2742,49165,HYUNDAI,2013,Jeep,Yes,Diesel,128919 km,4.0,Automatic,Silver,4
2743,18817,AUDI,2014,Sedan,Yes,Petrol,279722 km,4.0,Automatic,Black,4
2744,7840,NISSAN,2010,Hatchback,No,Petrol,132540 km,4.0,Automatic,Sky blue,8
2745,35736,HYUNDAI,2014,Minivan,Yes,Diesel,110483 km,4.0,Automatic,Yellow,4
2746,16480,HYUNDAI,2008,Universal,Yes,Diesel,246122 km,4.0,Automatic,Silver,4
2748,16778,HYUNDAI,2011,Minivan,Yes,Diesel,45984 km,4.0,Automatic,White,4
2749,19121,HYUNDAI,2011,Sedan,Yes,Petrol,132742 km,4.0,Automatic,Silver,4
2751,14715,HYUNDAI,2010,Sedan,Yes,Petrol,154847 km,4.0,Automatic,White,4
2752,18117,TOYOTA,2013,Hatchback,Yes,Petrol,69000 km,4.0,Automatic,Grey,4
2754,23521,FORD,2015,Sedan,Yes,Petrol,77431 km,4.0,Tiptronic,Grey,12
2755,28589,CHEVROLET,2014,Jeep,Yes,Diesel,83924 km,4.0,Automatic,Silver,4
2756,11917,NISSAN,2005,Jeep,Yes,Petrol,137453 km,4.0,Automatic,White,6
2757,2979,MITSUBISHI,2013,Jeep,Yes,Petrol,103112 km,4.0,Automatic,Silver,12
2758,10349,FIAT,2012,Coupe,No,Petrol,128000 km,4.0,Tiptronic,White,6
2759,21796,VOLKSWAGEN,2014,Hatchback,Yes,Diesel,51742 km,4.0,Manual,Blue,8
2760,12544,FORD,2014,Hatchback,No,Petrol,103318 km,4.0,Automatic,Silver,8
2761,20385,TOYOTA,2013,Sedan,No,Hybrid,103000 km,4.0,Automatic,Blue,6
2762,21012,TOYOTA,2014,Sedan,Yes,Petrol,140000 km,4.0,Automatic,Grey,8
2763,16935,FORD,2013,Hatchback,Yes,Hybrid,111467 km,4.0,Tiptronic,Black,12
2764,17876,HYUNDAI,2014,Hatchback,No,Petrol,68800 km,8.0,Tiptronic,Red,8
2765,24618,TOYOTA,2010,Jeep,Yes,Hybrid,132603 km,4.0,Tiptronic,White,8
2766,22947,HYUNDAI,2012,Jeep,Yes,Diesel,180491 km,4.0,Automatic,Silver,4
2767,7213,MAZDA,2003,Hatchback,No,CNG,185000 km,4.0,Manual,Blue,4
2769,21012,MAZDA,2017,Sedan,Yes,Petrol,75492 km,4.0,Automatic,Red,8
2770,8000,MERCEDES-BENZ,1998,Minivan,No,CNG,300000 km,4.0,Manual,Silver,5
2771,6586,TOYOTA,2014,Sedan,Yes,Petrol,300000 km,6.0,Automatic,Silver,12
2772,14426,TOYOTA,2008,Hatchback,Yes,Hybrid,361600 km,4.0,Variator,White,4
2773,18000,FIAT,2013,Coupe,No,Petrol,142000 km,4.0,Manual,White,4
2774,37229,HYUNDAI,2016,Jeep,Yes,Diesel,149329 km,4.0,Automatic,Black,4
2775,18240,HYUNDAI,2011,Sedan,Yes,Petrol,161518 km,4.0,Automatic,White,4
2777,11133,TOYOTA,2014,Sedan,Yes,Hybrid,179381 km,4.0,Automatic,Black,12
2778,15994,TOYOTA,2012,Hatchback,No,Hybrid,193000 km,4.0,Variator,Yellow,2
2779,19456,HYUNDAI,2012,Jeep,Yes,Diesel,192534 km,4.0,Automatic,White,4
2780,37633,BMW,2013,Jeep,Yes,Petrol,200000 km,4.0,Tiptronic,Brown,4
2781,47042,MERCEDES-BENZ,2009,Microbus,Yes,Diesel,30000 km,6.0,Tiptronic,White,2
2782,17876,HYUNDAI,2012,Sedan,Yes,Hybrid,131000 km,4.0,Tiptronic,Black,12
2783,18503,MERCEDES-BENZ,2010,Sedan,Yes,Petrol,150121 km,8.0,Tiptronic,Black,12
2784,7840,OPEL,1998,Goods wagon,No,Petrol,230000 km,4.0,Manual,Blue,4
2785,16935,HYUNDAI,2017,Sedan,Yes,LPG,227911 km,4.0,Automatic,White,4
2786,14269,TOYOTA,2010,Jeep,Yes,Hybrid,300366 km,6.0,Automatic,Blue,12
2787,6272,NISSAN,2013,Jeep,Yes,Petrol,312118 km,4.0,Automatic,Black,12
2789,26657,CHEVROLET,2017,Jeep,No,Petrol,31006 km,4.0,Automatic,Blue,10
2790,14113,CHEVROLET,2013,Sedan,No,Petrol,210000 km,4.0,Tiptronic,Silver,12
2791,8781,HYUNDAI,2019,Sedan,Yes,Petrol,46264 km,4.0,Automatic,Grey,12
2792,13184,TOYOTA,2013,Hatchback,Yes,Petrol,125000 km,4.0,Automatic,White,4
2793,5018,MERCEDES-BENZ,2009,Sedan,Yes,Diesel,109139 km,6.0,Automatic,Black,12
2794,49058,CHEVROLET,2016,Sedan,Yes,Petrol,73148 km,4.0,Automatic,Silver,4
2795,15681,VOLKSWAGEN,2012,Sedan,Yes,Petrol,2012 km,4.0,Tiptronic,Grey,8
2797,3200,FORD,1998,Sedan,No,CNG,160000 km,6.0,Automatic,Golden,4
2798,18817,HYUNDAI,2013,Sedan,Yes,Petrol,68000 km,4.0,Tiptronic,Blue,6
2799,61154,LEXUS,2015,Jeep,Yes,Petrol,273493 km,8.0,Automatic,Silver,6
2800,37066,HYUNDAI,2018,Sedan,Yes,Petrol,20388 km,4.0,Automatic,White,4
2801,5959,OPEL,2000,Jeep,No,Petrol,210000 km,6.0,Manual,Black,4
2802,15053,TOYOTA,2014,Hatchback,No,Hybrid,11800 km,4.0,Automatic,White,7
2803,11917,TOYOTA,2006,Sedan,No,Diesel,162000 km,4.0,Automatic,Grey,6
2804,18422,TOYOTA,2014,Hatchback,Yes,Petrol,35800 km,4.0,Automatic,Silver,4
2805,28852,JEEP,2015,Jeep,No,Petrol,168000 km,4.0,Tiptronic,Grey,12
2806,3000,HONDA,2004,Hatchback,No,Petrol,11111 km,2.0,Automatic,White,6
2807,10697,CHEVROLET,2014,Hatchback,Yes,Petrol,95100 km,4.0,Automatic,Grey,4
2808,16935,TOYOTA,2012,Hatchback,No,Hybrid,107000 km,4.0,Automatic,Red,12
2809,7213,MERCEDES-BENZ,2002,Coupe,Yes,Petrol,157000 km,4.0,Tiptronic,Silver,6
2810,14740,LINCOLN,1998,Jeep,Yes,CNG,116800 km,8.0,Automatic,White,8
2811,20171,SSANGYONG,2011,Jeep,Yes,Diesel,148427 km,4.0,Automatic,Black,4
2812,26149,HYUNDAI,2011,Jeep,Yes,Diesel,126320 km,4.0,Automatic,Grey,4
2813,14113,CHEVROLET,2016,Sedan,No,Petrol,77000 km,4.0,Tiptronic,White,12
2814,18189,VOLKSWAGEN,2014,Sedan,Yes,Petrol,65600 km,4.0,Automatic,Black,8
2815,21031,SSANGYONG,2014,Jeep,Yes,Diesel,128619 km,4.0,Automatic,Black,4
2817,21169,MITSUBISHI,2017,Jeep,No,Petrol,41681 km,4.0,Automatic,Blue,8
2818,16308,MERCEDES-BENZ,2002,Sedan,Yes,Diesel,248000 km,5.0,Tiptronic,Black,10
2819,29793,TOYOTA,2008,Jeep,Yes,Hybrid,2005 km,6.0,Automatic,Silver,12
2821,13877,CHEVROLET,2012,Sedan,Yes,Petrol,126000 km,4.0,Automatic,White,4
2822,25086,LEXUS,2008,Sedan,Yes,Petrol,132500 km,6.0,Tiptronic,Grey,12
2823,5959,NISSAN,2003,Goods wagon,No,Petrol,132500 km,6.0,Tiptronic,Silver,10
2824,24462,VOLKSWAGEN,2016,Sedan,Yes,Petrol,48935 km,4.0,Automatic,White,10
2826,14740,BMW,2004,Jeep,Yes,Petrol,320000 km,6.0,Automatic,Golden,10
2828,40769,TOYOTA,2015,Sedan,Yes,Hybrid,320000 km,4.0,Automatic,Black,12
2829,42692,SSANGYONG,2013,Jeep,Yes,Diesel,105909 km,4.0,Automatic,White,4
2830,51746,BMW,2015,Jeep,Yes,Petrol,110400 km,6.0,Tiptronic,White,12
2831,1333,LEXUS,2011,Jeep,Yes,Petrol,259232 km,6.0,Automatic,Silver,12
2832,1333,MAZDA,2010,Hatchback,Yes,Petrol,191110 km,4.0,Automatic,Black,12
2833,14269,TOYOTA,2010,Hatchback,No,Hybrid,210000 km,4.0,Variator,White,12
2834,42808,TOYOTA,2018,Sedan,Yes,Petrol,24382 km,4.0,Automatic,Black,8
2835,44517,HYUNDAI,2016,Universal,Yes,Diesel,124708 km,4.0,Automatic,Grey,4
2836,6586,CHRYSLER,2017,Sedan,Yes,Petrol,31090 km,6.0,Automatic,Grey,12
2837,8154,FIAT,2001,Goods wagon,No,Diesel,266000 km,4.0,Manual,Carnelian red,2
2838,41811,SSANGYONG,2017,Jeep,Yes,Petrol,53811 km,4.0,Automatic,Grey,4
2839,8467,HONDA,2009,Hatchback,No,Hybrid,155000 km,4.0,Tiptronic,Silver,8
2840,5300,BMW,2007,Sedan,Yes,Petrol,1000 km,6.0,Automatic,Silver,3
2842,11917,TOYOTA,2007,Sedan,No,Hybrid,318400 km,4.0,Automatic,Sky blue,5
2843,21639,TOYOTA,2016,Sedan,No,Petrol,131000 km,4.0,Automatic,Grey,10
2844,5645,TOYOTA,2010,Jeep,Yes,Hybrid,264877 km,6.0,Automatic,White,12
2846,26657,BMW,2011,Sedan,Yes,Petrol,154000 km,6.0,Tiptronic,Black,12
2847,5018,LEXUS,2015,Jeep,Yes,Petrol,188078 km,8.0,Automatic,Black,12
2848,3136,TOYOTA,2012,Sedan,Yes,Hybrid,159379 km,4.0,Automatic,White,12
2849,38260,AUDI,2013,Universal,Yes,Petrol,117000 km,4.0,Tiptronic,Black,8
2850,10663,HYUNDAI,2015,Sedan,Yes,LPG,278223 km,4.0,Automatic,Silver,4
2852,26475,HYUNDAI,2011,Jeep,Yes,Diesel,151186 km,4.0,Automatic,Silver,4
2853,19707,SSANGYONG,2009,Jeep,Yes,Diesel,170347 km,4.0,Automatic,Black,4
2854,9565,AUDI,2014,Hatchback,Yes,Petrol,191373 km,6.0,Automatic,Grey,4
2855,23521,NISSAN,2012,Jeep,No,Petrol,203200 km,6.0,Tiptronic,Grey,6
2856,8000,TOYOTA,2014,Hatchback,No,Hybrid,122000 km,4.0,Automatic,White,6
2857,21639,MERCEDES-BENZ,2010,Sedan,Yes,Petrol,135000 km,6.0,Tiptronic,Blue,8
2858,6586,LAND ROVER,2004,Jeep,Yes,Petrol,150000 km,4.0,Manual,Silver,4
2859,76835,PORSCHE,2012,Sedan,Yes,Petrol,90000 km,8.0,Tiptronic,Black,8
2860,5645,HONDA,2002,Sedan,No,Petrol,260000 km,4.0,Automatic,Red,8
2861,38894,HYUNDAI,2013,Jeep,Yes,Diesel,128919 km,4.0,Automatic,Silver,4
2862,35043,SSANGYONG,2013,Jeep,Yes,Diesel,92728 km,4.0,Automatic,Silver,4
2863,1568,HYUNDAI,2018,Sedan,Yes,Petrol,61795 km,4.0,Automatic,Blue,12
2865,13485,FORD,2014,Sedan,Yes,Petrol,133260 km,4.0,Automatic,Silver,12
2866,17876,HYUNDAI,2011,Sedan,No,Petrol,68771 km,4.0,Tiptronic,Black,12
2867,23521,TOYOTA,2012,Sedan,No,Petrol,113000 km,4.0,Tiptronic,Black,12
2868,16935,TOYOTA,2012,Hatchback,No,Hybrid,91400 km,4.0,Variator,Silver,12
2869,44752,SSANGYONG,2014,Jeep,Yes,Diesel,37546 km,4.0,Automatic,White,4
